over_number,commentary_data,timestamp
0.1," Khaleel Ahmed to Jaiswal, , Jaiswal starts off with a bang!! He got a first ball six against PBKS, this time a first ball four!! Short pitched and comes slow after hitting the deck, pulled through mid-wicket for a boundary... ",1680948057876
0.2," Khaleel Ahmed to Jaiswal, , shoddy fielding! This is short and rose steeply, Jaiswal does well to control his cut to the right of point. Mukesh Kumar is the man at third-man, misjudges the bounce and gifts a boundary... ",1680948085052
0.3," Khaleel Ahmed to Jaiswal, , a hat-trick of fours!! This is too full on off, Jaiswal opens the bat face on the drive to get it through extra cover for a boundary... ",1680948123430
0.5," Khaleel Ahmed to Jaiswal, , Yashasvi Jaiswal showing the full range here!! This is pitched up onto off, Jaiswal shuffles in and takes it under the bat to swing down the ground. Mid-on is too wide to have a say... ",1680948202093
0.6," Khaleel Ahmed to Jaiswal, , make that five!! Back of length with width, Jaiswal waits and expertly steers his cut over the short third fielder for a boundary.  ",1680948245970
1.3," Nortje to Buttler, , on a length but offered some width. Buttler frees his arms with the drive that goes between short cover and point. He's off the mark with a boundary as well... ",1680948435139
1.5," Nortje to Buttler, , full and quick outside off. Buttler had a slash and it takes a thick outside edge that flies over short third and into the boundary fence.  ",1680948503223
1.6," Nortje to Buttler, , another one! On a length on off, not too much wrong with the ball and Buttler just offers a gentle push that goes through extra cover and mid-off.  ",1680948566317
2.4," Mukesh Kumar to Buttler, , up and over. Slightly wider and fuller from Mukesh Kumar. Buttler isn't going to ignore this, slams it over wide mid-off for a boundary. One bounce and over... ",1680948810459
3.1," Khaleel Ahmed to Jaiswal, , new end, same treatment. Too wide and full from Khaleel Ahmed, Jaiswal drives it into the ground and over the point fielder for another boundary ",1680949003981
3.6," Khaleel Ahmed to Buttler, 2 runs, Put down!! This was another pitched up slower delivery, Buttler went for a big slog but didn't time it well. Got plenty of elevation and Nortje from mid-on kept running back. He got to the ball and had a juggle, but couldn't hold on. Always tough to catch these, but Buttler gets a life.. ",1680949390366
4.3," Axar to Jaiswal, , Jaiswal got ready early for the switch hit. Axar Patel saw that and fired it onto his boots. The batter gets an underedge that runs away to the third-man boundary ",1680949526627
4.4," Axar to Jaiswal, , superb shot!! This was flat on leg, Jaiswal backed away to play the cut and gets it between point and short third ",1680949566191
4.5," Axar to Jaiswal, , once again a hat-trick of fours!! This was fired in again, Jaiswal expected that, got low and swept it over square leg. A couple of bounces before going over... ",1680949595269
5.4," Nortje to Buttler, , yorker length, slightly underpitched and Buttler very easily lifts it over mid-off for a boundary. Makes cricket look so easy... ",1680949825692
6.4," Axar to Jaiswal, , goes on with the arm outside off, cut square of the wicket by Jaiswal and beats the dive of sweeper cover ",1680950213267
6.5," Axar to Jaiswal, , lovely shot!! Once again flat on the pads, not too much wrong with the delivery. Jaiswal stays back and pulls between deep mid-wicket and long-on.  ",1680950248214
7.2," Kuldeep Yadav to Buttler, , unlucky!! This was a very wide half tracker. Buttler goes chasing and gets an underedge that runs away to the third-man boundary. Nothing keeper or fielder could have done there ",1680950398641
7.4," Kuldeep Yadav to Jaiswal, , tossed up on leg, Jaiswal shuffled away and charged out to get under the ball. Hoists his drive over long-off and into the stands. Looked like a mishit on first viewing, but easily cleared the fence... ",1680950474214
7.6," Kuldeep Yadav to Buttler, , flat and was seam up onto the thigh pad. Buttler adjusts to pull it behind square and it races away to the fence again. RR almost at 100 and only 8 overs have been bowled... ",1680950536294
8.3," Mukesh Kumar to Jaiswal,  Caught&Bowled!! There comes the wicket! Very smart from Mukesh Kumar as he went for a surprise bouncer after seeing Jaiswal charge out. Bent his back on that and got the extra pace, hurried the southpaw who top-edged his pull only for an easy caught and bowled chance.  ",1680950835534
9.1," Kuldeep Yadav to Buttler, 2 runs, tossed up on the pads, turned to the right of long-on for a couple of runs. Smart running... ",1680951102832
9.5," Kuldeep Yadav to Samson,  Caught by Nortje!! A duck for Sanju Samson and the assist for this wicket goes to Mukesh Kumar. He tied up the RR captain with three dots, and Samson decided to heave it over long-on as Yadav flighted it up. Off to bottom of the bat and holes out to long-on. Not very smart from Sanju, DC can sense a route back now...  ",1680951265888
12.2," Axar to Buttler, , six after 25 deliveries!! Short on middle, Buttler goes back to pull it over cow corner and for a maximum. That's also his 50!! ",1680951841830
13.5," Powell to Riyan Parag,  Bowled!! Powell has broken through for DC - an ugly hoick from Parag, was looking to swing it over mid-wicket and missed it completely, another failure for him, but this will bring in Shimron Hetmyer - pace on this delivery from Powell, kept coming back with the angle and splattered into the stumps.  ",1680952322731
15.5," Mukesh Kumar to Buttler, , , a low full-toss from Kumar - Buttler gets down low and then paddles it over backward square leg, bounces away to the ropes in a hurry ",1680952927451
15.6," Mukesh Kumar to Buttler, , , very full and at the stumps, nothing wrong with the ball, but Buttler has backed away, opens up his arms and drives it like a sledgehammer, back past the umpire and giving long-on no chance,  ",1680952973164
16.3," Powell to Hetmyer, , Powell misses his length and is duly punished - length ball and Hetmyer smashes it back over the bowler's head, sails all the way over the ropes for a boundary ",1680953203480
16.4," Powell to Hetmyer, , , Powell has started to leak runs, full and wide of off, but Hetmyer can get under it and then drills the drive wide of extra-cover, long-off can't get across to cut it off ",1680953239699
17.3," Nortje to Buttler, , , funky moves from Buttler - shuffles across the stumps, used Nortje's pace and then lapped it very fine - long leg is square and has no chance ",1680953477149
17.6," Nortje to Buttler, , even Nortje is starting to travel, misses the yorker, turns out to be a low full-toss - Buttler didn't hit it cleanly, but mid-off was in the ring and the ball bounced over him to the ropes,  ",1680953581888
18.1," Mukesh Kumar to Hetmyer, , , on a good length and at the stumps, Mukesh missed the yorker and he's made to pay - Hetmyer gets under the shovel and sends it soaring over mid-wicket for a maximum ",1680953651178
