over_number,commentary_data,timestamp
0.2," Boult to Saha, , 135.7kph, Saha is underway! Full toss swinging in on middle and leg, easy pickings for Saha who flicks it away through mid-wicket ",1681653694719
0.3,"Boult to Saha,  Caught&Bowled!! Boult strikes early, again! Length delivery, swinging in on middle and leg, Saha is early to close his bat-face and gets a fat leading edge that goes a mile up in the air. Three fielders - point, keeper and mid-wicket - converge and all three go for the catch despite the keeper calling for it. There's a collision as well between the two. Samson fails to gather it because of that. But fortunately for him, the ball pops up and goes into the hands of Boult who was only watching and hoping for someone else to drop. Dramatic! ",1681653773619
1.3," Sandeep Sharma to Sai Sudharsan, , width served and Sai Sudharsan latches onto it. The length was on the shorter side as well. The left-hander waits on the back foot and slaps the cut through point ",1681654075186
2.1," Boult to Sai Sudharsan, , 136.9kph, top shot! Pitched up by Boult, curls away slightly, but Sai Sudharsan is well-equipped to counter that. Gets forward and drives past the non-striker. No chance for mid-on to stop that ",1681654289421
2.6," Boult to Shubman Gill, , 135.6kph, Shubman Gill gets off the mark with an authoritative stroke! Ample width served outside off, Gill stands tall and slaps it fiercely through extra cover. Bulleted away to the fence.  ",1681654537247
4.6," Zampa to Shubman Gill,  Sai Sudharsan Run Out!! 94.6kph, Gill comes down the track and yorks himself. Jams it into the deck and the ball goes over the leaping bowler who got a hand on it. Oh wait, there's a run-out appeal. Samson is confident. And Sai Sudharsan is short. The ball was dribbling towards mid-on and Sudharsan was initially looking to get back into the crease at the bowler's end. Gill kept running and Sudharsan was late to take off for the single.  ",1681655291591
5.1," Ashwin to Shubman Gill, , Gill greets Ashwin with a boundary. Gets down on one leg, fetches this flat ball from outside off and sweeps fiercely over square leg. Superb shot ",1681655315203
5.6," Ashwin to Shubman Gill, , 10 runs off Ashwin's first over! Shimmies down the track, moves slightly leg-side to open up the off-side, gets underneath this fullish ball and lifts it over mid-off ",1681655373741
6.2," Zampa to Hardik Pandya, , 93.2kph, full and drifting in, overpitched, Hardik Pandya clears his front leg and swings hard through the line over straight long-on ",1681655461857
6.3," Zampa to Hardik Pandya, , four more! Zampa goes full again and Hardik Pandya thumps this over the bowler's head for a one-bounce head. No turn and Pandya pounced! ",1681655509252
7.2," Ashwin to Shubman Gill, , excellent use of the feet. 91.4kph, carrom ball, Shubman Gill comes down the track, gets close to the pitch of the ball and superbly lifts it over extra cover. Couple of bounces and into the fence ",1681655650710
7.4," Ashwin to Hardik Pandya, , 95.5kph, edged and four!  Carrom ball, Pandya stays leg-side of the ball to hammer it over mid-off/extra cover. Gets a fat outside edge that goes fine of the fielder at short third man ",1681655703916
7.6," Ashwin to Shubman Gill, ,  96 kph, fuller in length, Shubman Gill dances down the track, gets to the pitch of this delivery, lofts it high and over straight long-on ",1681655763229
9.4," Boult to Hardik Pandya, ,  Pace on, short ball, sits up nicely for Hardik Pandya who picks the length early. The skipper stands tall and pulls it powerfully in front of square on the leg-side ",1681656337790
10.3,"Chahal to Hardik Pandya,  Caught by Jaiswal!!  and punches the air in delight! Tossed up legbreak at 85.6kph, Hardik Pandya stays leg-side of the ball to loft it downtown. The ball, however, spins away and that results in a miscue. The GT skipper ends up slicing it in the air and Jaiswal holds onto the catch at extra cover after backpedalling. Pandya got a start but failed to convert it into a big one. ",1681656568160
11.6," Ashwin to Miller, 2 runs, 95.8kph, quick offie, turned towards square leg off the back foot and the batters come back for the second. 100 up for GT! ",1681657041259
12.2," Zampa to Miller, no run,  87.1kph, tossed up ball, Miller looks to clip it towards mid-on/mid-wicket and chips it straight back at the bowler. The ball might have held onto the pitch a bit. It was a dolly and Zampa dropped it! How costly will it be? ",1681657154423
14.3," Chahal to Miller, , Miller shimmies down the wicket and spanks this towards long-on. Buttler in the deep sprints to his right, puts in a dive, but this ball was struck so hard, there was no chance to get there ",1681657585113
15.2," Sandeep Sharma to Shubman Gill,  Caught by Buttler!! No fifty for Gill tonight! This was pitched up by Sandeep Sharma around off, and Shubman Gill tries to take him on. Hits this hard towards long-off, but doesn't get the elevation. Buttler stationed near the boundary takes a nonchalant catch and he doesn't even bother celebrating..  ",1681657819514
