over_number,commentary_data,timestamp,match_id
preview," Squad: David Warner(c), Prithvi Shaw, Mitchell Marsh, Philip Salt(w), Sarfaraz Khan, Rovman Powell, Axar Patel, Aman Hakim Khan, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Ishant Sharma, Manish Pandey, Praveen Dubey, Mukesh Kumar, Kamlesh Nagarkoti, Lalit Yadav, Rilee Rossouw, Ripal Patel, Yash Dhull, Vicky Ostwal, Abishek Porel",1680272881513,66176
preview," Squad: KL Rahul(w/c), Kyle Mayers, Deepak Hooda, Nicholas Pooran, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Prerak Mankad, Jaydev Unadkat, Avesh Khan, Ravi Bishnoi, Krishnappa Gowtham, Swapnil Singh, Naveen-ul-Haq, Yash Thakur, Daniel Sams, Romario Shepherd, Yudhvir Singh Charak, Karan Sharma, Mayank Yadav, Amit Mishra, Manan Vohra",1680272991992,66176
preview,,1680272993885,66176
preview," Hello and welcome to our coverage of today's evening game between Lucknow Super Giants and Delhi Capitals. It's the first time LSG will get to play at their home ground since joining the IPL last year, and will be eager to hit the ground running after a good showing in 2022 where they made the playoffs. DC have a new captain in David Warner with Rishabh Pant out injured, and will be looking to improve on their fifth-place finish last time.",1680272993896,66176
preview,"Both teams are awaiting the arrival of their South African players. Quinton de Kock, who scored a 43-ball hundred recently against the West Indies, will be a big miss at the top of the order for LSG. In comparison, DC have an explosive top three in Warner, Prithvi Shaw and Mitchell Marsh. However, they are without Anrich Nortje and Lungi Ngidi today. All three are expected to join after South Africa's final ODI against Netherlands.",1680272993906,66176
preview," ""65 meters to my left, 62 to my right. And it will need a good thump down the ground at 77 meters. Importantly, the 22-yards is interesting because there's very little grass at this end. It's very bare and the ball may grip on this half. As I walk down, you can see the disparity. You get to the middle, you start seeing more grass, and it's patchy as well. So it's a pitch with contrasting halves. There's so much more grass on one side, but it's patchy grass. So when it hits the bald areas, it could hold. Hoping that the red soil makes the bounce and carry."" - ",1680272993916,66176
preview,"LSG paid a big sum to bag Nicholas Pooran at the auction in an attempt to beef up their middle order. DC didn't have the same purse, but made some good additions, one of them being Rilee Rossouw.",1680272993926,66176
preview,"Mitchell Marsh, talking ahead of the game, confirms he's ready to go with the ball. Okay it's coming up to toss time.",1680272993936,66176
preview,,1680314440224,66176
preview," Going to have a bowl. For us it's about trying to assess conditions early and knowing what to chase. It can be quite confusing, maybe stressful at times (impact player). I'm excited to be back. We send our best out to Rishabh.",1680355886454,66176
preview," That's how most IPL teams work. They want to make their home ground their fortress. We're as clueless as the opposition. We haven't played here. We're going in with no expectations. For all you know, it might be a good batting wicket. It's new (impact player). Still getting used to it. It gives teams a chance to be in the game or come back in the game. It's fun. Hopefully it's a good change.",1680355963119,66176
preview," (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar",1680356550056,66176
preview," (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan",1680356552191,66176
preview,,1680356554840,66176
preview," Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.",1680357269865,66176
preview," Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",1680357453527,66176
preview,All set to go in Lucknow. Khaleel to Rahul. Here we go.,1680357592439,66176
preview,,1680357642734,66176
preview,,1680357642734,66176
0.1," Khaleel Ahmed to Rahul, 1 run, good length on off, hint of inswing, and Rahul guides it to third man with an open face. He played that late on the back foot, waiting for it to come to him ",1680357646528,66176
0.2," Khaleel Ahmed to Mayers, no run, good bounce for Khaleel! Short of length, climbs sharply off the surface just outside off and whistles past the bat shoulder as Mayers pokes at it tentatively ",1680357691116,66176
0.3," Khaleel Ahmed to Mayers, no run, 139kph, full ball slanted in on leg, Mayers turns it gently to midwicket ",1680357730246,66176
0.4," Khaleel Ahmed to Mayers, no run, good length outside off, Mayers knocks it to point ",1680357766667,66176
0.4,There's one slip in place,1680357769667,66176
0.5," Khaleel Ahmed to Mayers, no run, length ball around off, hint of shape away, and Mayers hangs back to defend from the crease ",1680357806165,66176
0.6," Khaleel Ahmed to Mayers, no run, 134.3kph, back of a length delivery outside off, Mayers punches it gently to backward point ",1680357848781,66176
0.6,It's their first home game but it's nowhere close to being a full house in Lucknow,1680357851781,66176
0.6,,1680357901119,66176
1.1," Mukesh Kumar to Rahul, no run, ! Sharp movement for Mukesh Kumar too! It's a length ball outside off, curves away late and goes past the edge ",1680357940369,66176
1.2," Mukesh Kumar to Rahul, no run, back of a length on off, Rahul blocks from the crease ",1680357995900,66176
1.2," I'm really looking forward to seeing Kyle Mayers at the IPL, his typical lofted shot on the back foot over the point is so gorgeous and I'm a huge fan of his shot.",1680357995901,66176
1.2,Mukesh Kumar was Delhi's most expensive buy at this year's auction. He has two slips in place currently,1680357998900,66176
1.3," Mukesh Kumar to Rahul, no run, length ball slanted in, it's straying on leg stump and Rahul looks to whip it away. But he misses and is struck on the pad. It was going down with the angle, would've missed the stumps easily ",1680358056104,66176
1.4," Mukesh Kumar to Rahul, 1 run, good length delivery slanted into the pads, Rahul clips it to deep square leg ",1680358096749,66176
1.5," Mukesh Kumar to Mayers, 2 runs, back of a length delivery across off, Mayers hangs back and punches it through point. He's found the gap but the fielder is able to chase it down ",1680358145778,66176
1.6," Mukesh Kumar to Mayers, 2 runs, misfield! Back of a length on off, Mayers pulls firmly but it's straight to mid-on where Kuldeep fumbles and gives away a couple of runs ",1680358186451,66176
1.6,"Rahul vs Khaleel in IPL (before today): 26 runs, 28 balls, one dismissal, SR: ",1680358186461,66176
1.6,"Rahul vs Khaleel in IPL (before today): 26 runs, 28 balls, one dismissal, SR: ",1680358186461,66176
1.6,"Rovman Powell, who is mic'd up on the field, says he doesn't like the look of this pitch. He thinks it'll be quite slow.",1680358189451,66176
2.1," Khaleel Ahmed to Rahul, byes, 1 run, now there's a fumble from the keeper! Short and wide, Rahul slashes hard but misses. The ball swerves a bit in front of Sarfaraz and he's unable to grab it cleanly ",1680358301340,66176
2.2," Khaleel Ahmed to Mayers, no run, good length delivery just outside off, Mayers drives on the up to cover ",1680358339590,66176
2.3," Khaleel Ahmed to Mayers, no run, back of a length delivery around leg, Mayers looks to pull but it doesn't get up as high as he expects. It strikes him on the thigh pad ",1680358378571,66176
2.4," Khaleel Ahmed to Mayers, , back of a length around off, Mayers goes hard on the pull and swats it behind square. Races away to the boundary! ",1680358426293,66176
2.5," Khaleel Ahmed to Mayers, 1 run, full on middle and leg, Mayers clears the front leg to slog and gets a thick inside edge onto pad ",1680358466748,66176
2.5,Khaleel goes round the wicket,1680358469748,66176
2.6," Khaleel Ahmed to Rahul, no run, pitched right up outside off, Rahul drives firmly but hits it straight to mid-off ",1680358524001,66176
