over_number,commentary_data,timestamp,match_id
preview," Squad: Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Suyash Sharma, Lockie Ferguson, Varun Chakaravarthy, Venkatesh Iyer, Tim Southee, Mandeep Singh, Jason Roy, Litton Das, David Wiese, Anukul Roy, Kulwant Khejroliya, Vaibhav Arora, Harshit Rana, Aarya Desai",1681553385705,66271
preview," Squad: Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff, Tim David, Sandeep Warrier, Jofra Archer, Vishnu Vinod, Ramandeep Singh, Shams Mulani, Arjun Tendulkar, Kumar Kartikeya, Akash Madhwal, Duan Jansen, Tristan Stubbs, Dewald Brevis, Raghav Goyal",1681553506518,66271
preview,,1681553514558,66271
preview,,1681553514568,66271
preview," Back at the Wankhede Stadium today for the afternoon game, as Mumbai Indians take on Kolkata Knight Riders. Mumbai Indians have won the IPL a record five times, but look a shadow of that championship winning side that they were three years ago. It is really unfortunate for them that the worst lean patch of Suryakumar Yadav’s career has coincided with the IPL. Their big money players Ishan Kishan, Cam Green and Jofra Archer are yet to light up the IPL. However, the good news is skipper Rohit got some runs under his belt last time around, and a win, albeit a last ball scrappy win against DC in their previous game could be the shot of confidence they need for the season.",1681635228756,66271
preview,"Visitors KKR head into this game after a loss at home against SRH, but it was a defeat  where they kept fighting till the end. What has been really refreshing for the Knight Riders has been the performance of their Indian core, with Jagadeeshan getting some runs in the previous game while Nitish Rana and Rinku Singh notched solid fifties. If only their overseas players start pulling their weight, especially Lockie Ferguson with the ball and Andre Russell with the bat. Maybe today is the day they justify their hefty price tags.",1681635268781,66271
preview,"These two sides have one of the most skewed head-to-head records, with Mumbai winning 22 out of the 31 games played between them. However, on form this should be a much closer contest. KKR would be keen to try and balance out the scales once again with a good performance today. It is also a really hot and sultry afternoon in Mumbai, so it is not going to be easy for the players...",1681635858952,66271
preview," byB1$ Wankhede is always a lovely place to be. This is a day game and the sun is beaming down. Last game we got an average score of about 180 at the Wankhede, so we are hoping for a high scoring game but this surface is a very interesting one. There isn't a lot of grass and some of the cracks are showing. It is still a hard surface but because the grass has been shaven so closely, this surface could grip with so many spinners on show for KKR and 1-2 for Mumbai Indians. It could also hold a bit to encourage the slower bowlers. The fast men need to work a bit harder today. In this format, we usually hope for bat to dominate ball but a little bit of help for the slower bowlers isn't too bad.",1681636109439,66271
preview," We had a good game (against SRH) as we scored 200, so as a batting unit everyone is pumped up and confident. It's a big away game for us today. Just training and travelling, plenty of travel days. I am trying to get the most out of this trip. This year has started well for me, I have enjoyed my cricket a lot. Really happy with where I am at, the hundreds have been great, form is good, hopefully I get a game soon. Got great memories at this ground, during the World Cup, and when Delhi (Capitals) came here, we beat Mumbai. It's an incredible ground and an incredible city, so pretty excited. He (Rinku Singh) is a pocket rocket, I didn't see that coming. He smacks it in the nets, and is a serious talent.",1681636109449,66271
preview,,1681637410754,66271
preview,,1681637448779,66271
preview," Will love to bowl first, the wicket looks dry. The ball comes on to the bat nicely later. Rohit is out, he has a stomach bug. Time to put up a good show. We are going with one change, Duan Jansen comes in, rest all is same.",1681637451706,66271
preview," We were going to bat first anyways. The mood in the dressing room is good, need to improve our bowling. We believe we can chase 200-210. The ball might turn in the second innings I think. One player can't win you a tournament, it's a team sport. It's good for us, that everyone is scoring runs. We'll target to score around 180 on this wicket, we are playing with the same team..",1681637500971,66271
preview, Arjun Tendulkar is set to make his IPL debut today...,1681637759585,66271
preview," (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith",1681637944859,66271
preview," (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy",1681637949822,66271
preview,,1681637951400,66271
preview," Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya",1681638537737,66271
preview," Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",1681638579720,66271
preview,The players are out in the middle and we ready for live action. Gurbaz and Jagadeesan are ready to roll as Tendulkar steams in to bowl the first over of the match. Here we go!,1681639074956,66271
preview,,1681639230235,66271
preview,,1681639230235,66271
0.1," Arjun Tendulkar to Gurbaz, no run, pitched up by Arjun outside off, Gurbaz has a look and shoulders arms ",1681639240306,66271
0.2," Arjun Tendulkar to Gurbaz, 2 runs, 128kph, a low full toss by Arjun Tendulkar, Gurbaz shimmies down the wicket and chips it over mid-on off the cue end. David sprints back, but this ball eludes him ",1681639274424,66271
0.3," Arjun Tendulkar to Gurbaz, 1 run, 128kph, on the batter's pads and Gurbaz clips it towards mid-wicket with a closed bat face ",1681639308501,66271
0.4," Arjun Tendulkar to N Jagadeesan, leg byes, 1 run, loud appeal for an lbw, turned down! Was a length ball that swung back in and the batter was pinned on the pads. Impact in line, but probably missing the stumps, it was really high ",1681639406198,66271
0.5," Arjun Tendulkar to Gurbaz, no run, short and quick outside off, Gurbaz sways away from its line ",1681639409118,66271
0.6," Arjun Tendulkar to Gurbaz, 1 run, 126.1kph, short of a length outside off, this nips back in sharply, Gurbaz goes for a cut, but doesn't middle it, a single taken towards the off-side ",1681639471452,66271
0.6,,1681639554680,66271
1.1," Green to Gurbaz, 1 run, banged in short by Green, Gurbaz rides the bounce and nudges it into the leg-side for a single ",1681639558412,66271
1.2," Green to N Jagadeesan, no run, 132.2kph, pitched up by the bowler on off, this ball nips away as Jagadeesan gets beaten on his defence ",1681639609984,66271
1.3," Green to N Jagadeesan, no run, hits the deck on back of a length, Jagadeesan slices it towards cover-point ",1681639646136,66271
1.4," Green to N Jagadeesan, , wayward ball by Green, sprays this one down the leg-side, and the ball keeps swinging away from the keeper who fails to gather it despite putting in a dive ",1681639689245,66271
1.4," Green to N Jagadeesan, no run, a mixup between the batters, but no harm done. Was a length delivery on off and Jagadeesan steered it to backward point. A yes-no between the batters, and the throw comes in at the bowler's end ",1681639716535,66271
1.4,,1681639719535,66271
1.4," Green to N Jagadeesan,  Caught!! ",1681639864913,66271
1.5," Green to N Jagadeesan,  Caught by Hrithik Shokeen!! Yes, that's a clean catch by Shokeen! He has enough fingers underneath the ball. Was pitched up by Green and the batter sliced it uppishly, Shokeen dives forward, gets his fingers underneath and Jagadeesan is gone for a duck! That's a lovely start for Mumbai Indians! KKR yet to get a steady opening stand this season..  ",1681639865967,66271
1.5,,1681639954189,66271
1.5,,1681639954189,66271
1.6," Green to Venkatesh Iyer, 1 run, short of a length outside off, Venkatesh Iyer steers this to square third man where Arjun Tendulkar fumbles a tad, doesn't concede the second run though ",1681639982535,66271
1.6," Seeing the name Tendulkar on the scorecard, feeling nostalgic.",1681639982536,66271
2.1," Arjun Tendulkar to Venkatesh Iyer, no run, short of a lengt outside off, left alone by Venkatesh Iyer ",1681640052759,66271
2.2," Arjun Tendulkar to Venkatesh Iyer, no run, 126.9kph, good length delivery outside off, this one curves away from the batter, Venkatesh Iyer shimmies down the wicket, goes for a lofted drive, almost connects thin air ",1681640088521,66271
2.3," Arjun Tendulkar to Venkatesh Iyer, , 128.9kph, fired down the leg-side, and that's a wide ball ",1681640130387,66271
2.3," Arjun Tendulkar to Venkatesh Iyer, 2 runs, on a length around middle and leg, Venkatesh Iyer clips this through mid-wicket for a couple of runs ",1681640172678,66271
2.4," Arjun Tendulkar to Venkatesh Iyer, no run, short ball outside off, Venkatesh Iyer swings and misses ",1681640209190,66271
2.5," Arjun Tendulkar to Venkatesh Iyer, , first boundary of the innings off the bat! Back of a length around off, Venkatesh Iyer stands tall and times his punch through cover for four runs ",1681640258291,66271
2.6," Arjun Tendulkar to Venkatesh Iyer, ,  Dances down the wicket and thumps this length ball over long-off for a clean six does Venkatesh Iyer. An expensive over by Arjun Tendulkar that, 13 runs conceded ",1681640311051,66271
3.1," Green to Gurbaz, , Gurbaz shimmies down the track to play this, but Green fires it down the leg-side, a wide given ",1681640388087,66271
3.1," Green to Gurbaz, 1 run, short and quick on middle, Gurbaz goes for a hook, miscues it towards deep backward square leg ",1681640427154,66271
3.2," Green to Venkatesh Iyer, , banged in short by Green, Venkatesh Iyer slashes away from his body, gets a thick outside edge that flies quickly over third man. Just a 57 metre six ",1681640479166,66271
3.2," KKR should have given Jason Roy a chance considering his recent PSL performance. He is more than capable of giving KKR a flying start in powerplay, something that has not happened for KKR in this season so far.",1681640479167,66271
3.3," Green to Venkatesh Iyer, no run, walks across in the crease to play the scoop, but fails to make contact. Struck right on the knee cap as Venkatesh Iyer is down on the floor.  He has taken a pain killer and looks good to go ",1681640528679,66271
3.4," Green to Venkatesh Iyer, , Venkatesh Iyer is off to a flier! Green goes fraction short on off, Venkatesh Iyer looks to punch it, but ends up getting an inside edge through deep backward square leg. He's struggling to run is Iyer ",1681640722574,66271
3.5," Green to Venkatesh Iyer, 1 run, a full toss outside off, Venkatesh Iyer drives it to wide mid-off where the fielder stops it with a dive to his right ",1681640771455,66271
3.6," Green to Gurbaz, leg byes, 1 run, off the pads towards backward square leg as they take a leg bye ",1681640832796,66271
3.6,,1681640832806,66271
3.6,,1681640832816,66271
3.6,,1681640915626,66271
4.1," Jansen to Gurbaz, no run, short of a length around off, Gurbaz defends it from within the crease ",1681640930315,66271
4.1," Jansen to Gurbaz, no run, short of a length around off, Gurbaz defends it from within the crease ",1681640930315,66271
4.2," Jansen to Gurbaz, 1 run, short of a length around off, Gurbaz steers it into the off-side for a single ",1681640971788,66271
4.3," Jansen to Venkatesh Iyer, , Venkatesh Iyer is on fire! Waltzes down the wicket and bludgeons this length ball over long-on for a high and handsome six ",1681641013941,66271
4.4," Jansen to Venkatesh Iyer, no run, back of a length around middle and leg, Venkatesh Iyer looks to work it through the leg-side, gets hit on the pads ",1681641050122,66271
4.4, How much Pressure Arjun would be feeling carrying the name of great Tendulkar...!!!,1681641084903,66271
4.5," Jansen to Venkatesh Iyer, , banged in short by Jansen as the ball sails over Venkatesh Iyer's head ",1681641093799,66271
4.5," Jansen to Venkatesh Iyer, 2 runs, on a length around off, Venkatesh Iyer looks to go big and lofts this over cover for a couple of runs ",1681641136068,66271
4.6," Jansen to Venkatesh Iyer, ,  On a length around off, Venkatesh Iyer dances down the wicket and launches it over long-off for half-a-dozen. Looks in a destructive mood today ",1681641191147,66271
4.6,,1681641309948,66271
5.1," Chawla to Gurbaz, 1 run,  A loopy delivery outside off, Gurbaz slices away from his body, gets a thick outside edge as the fielder at backward point dives and gets his hand to it, can't grab on to it though. Was a really tough chance that ",1681641313461,66271
