over_number,commentary_data,timestamp
0.1,"Bhuvneshwar to Prabhsimran,  Lbw!! On the money straightaway! 127.6kph, seam-up ball that jags back in a bit off the deck from a short of a good length. Prabhsimran is rooted in his crease and doesn't account for the inward movement as he looks to defend. Beaten on the inside edge and struck on the back leg adjacent to the sticks. The umpire's finger went up quickly and Prabhsimran didn't review it. Ball-tracking shows it to be clipping top of middle (umpire's call). Perfect start for Bhuvneshwar and SRH! ",1681048853110
0.5," Bhuvneshwar to Dhawan, , 131.1kph, fullish delivery swinging away, Dhawan skips down the track and push-drives in the direction of the swing. Beats the diving backward point fielder to his left ",1681049134556
1.2,"Marco Jansen to Short,  Lbw!! LBW appeal, umpire Bruce Oxenford raises his finger! Short has a word with his batting partner - Dhawan - and decides not to review. Only an inside edge could have saved him here. , full and swinging in, Short stays in his crease and tries to play an expansive drive. He didn't expect the ball to come in so much. Beaten comprehensively on the inside edge and he's pinned on the back leg adjacent to the sticks. That's plumb! ",1681049356878
1.3," Marco Jansen to Jitesh Sharma, no run, now, Jitesh Sharma has been adjudged lbw. Another inswinger, beats the batter's inside edge to rap him on the front pad as he looks to work it into the on-side. He was walking forward as well. No bat. Over to ball-tracking and it's swinging down leg. Successful review! ",1681049526915
1.4," Marco Jansen to Jitesh Sharma, , no swing, fullish and angled across, Jitesh Sharma throws his bat for a drive sans any feet movement. Gets a thick outside edge and the ball eludes first slip to his right before running away to third man for four ",1681049558323
2.4," Bhuvneshwar to Dhawan, , 131.1kph, Bhuvneshwar goes fuller and wider, no movement and Dhawan pushes it straight of mid-off. Yes, just a push but the timing was spot-on ",1681049782688
2.6," Bhuvneshwar to Dhawan, , aerial and four! Dhawan comes down the track, negates any movement and opens his bat-face to drive it up and over the covers ",1681049868726
3.5,"Marco Jansen to Jitesh Sharma,  Caught by Markram!! Straight to mid-off! , length ball, Jitesh Sharma neither gets the required elevation nor does he get the placement right. Plays an uppish drive and it's catching practice for Markram at mid-off. After four dots, Jitesh was forced to take a risk and he perishes. ",1681050055372
4.4," T Natarajan to Dhawan, , 130.4kph, fullish delivery with a bit of away swing, Dhawan slices the drive and the ball falls short of the backward point fielder. Washington Sundar got a hand on it but the ball still had the legs to reach the fence. The ball actually spun away and hence the fielder couldn't stop it ",1681050375181
5.1," Marco Jansen to Sam Curran, , wow! 135.2kph, short of length delivery marginally outside off, Sam Curran stands tall and slams it over long-on for a 92m six. Stand and deliver ",1681050535705
