over_number,commentary_data,timestamp
0.5," Siraj to Gurbaz, , not great fielding at third man, not a great delivery either! Back of a length outside off, plenty of width for Gurbaz who cuts crisply past backward point. Third man does well to get there after running across, but fumbles and it rolls into the boundary ",1680789836765
2.3," Siraj to Gurbaz, ,  139kph, short of length outside off, and there's plenty of width for Gurbaz. He throws his hands at it and smokes it through point ",1680790351685
2.4," Siraj to Gurbaz, byes, , ! Karthik is beaten behind the stumps as well! Back of a length on off, Gurbaz hangs back to defend but it nips in, goes right through him and bounces over the stumps. The movement is too much to deal with for the keeper ",1680790402827
2.5," Siraj to Gurbaz, , short of length outside off, Gurbaz initially shimmies down but then adjusts well to the length. He's helped by the width as well. Gets on top of the bounce, opens the face and guides it past short third ",1680790436173
3.2," Willey to Venkatesh Iyer,  Bowled!! Sharp movement off the seam, bit of low bounce, and Iyer's stumps are rattled! Willey is pumped! It's a short of length delivery just outside off, Iyer tries punching off the back foot but it cuts back in sharply. Usually the ball would go over the stumps from that length. But not here. It beats the inside edge and crashes into middle and leg!  ",1680790616792
3.3," Willey to Mandeep,  Bowled!! , and this one's an absolute beauty from Willey! Good length delivery slanted away from over the wicket at around 126kph. It pitches around leg, Mandeep gets tentatively forward to defend but it nips away sharply to beat the edge before smashing off stump. Mandeep got completely squared up. I ",1680790730373
4.2," Akash Deep to Gurbaz, , , 138.6kph, short of length into the body, and Gurbaz swivels across nicely to pull it over short fine leg for six. It's a no-ball as well with Akash Deep overstepping ",1680791056281
4.5," Akash Deep to Gurbaz, leg byes, , that's a poor call from the ump. Clearly came off the bat. Back of a length around off, Gurbaz shuffles across and expertly glances it past short fine for four ",1680791219211
5.3," Willey to Gurbaz, , 127kph, short of length around off, sits up for Gurbaz who whacks the pull over midwicket. Not the length Willey can afford to bowl at his pace ",1680791419370
6.1," M Bracewell to Nitish Rana,  Caught by Karthik!!  Rana tries a reverse-sweep off Bracewell's first ball, but it pops up in the air for the keeper. Oh that's come straight off the glove. Having watched the replay, Rana is already walking off before the third umpire can confirm the decision.  ",1680791704806
6.5," M Bracewell to Gurbaz, 2 runs, length ball pitching outside off, turns in sharply on middle and leg, and Gurbaz clips it through midwicket ",1680791902832
