over_number,commentary_data,timestamp
1.1," Avesh Khan to Gaikwad, , full but drifts down the leg side. Pooran didn't quite catch it perhaps because he made no movement.  Nope, nothing on UltraEdge, LSG lose their review... ",1680531029092
1.3,"Avesh Khan to Conway, , good length with plenty of width, Conway takes a slash and cuts it square of the wicket. Keeps it along the ground to get his first boundary!!",1680531302087
1.4," Avesh Khan to Conway, , top shot!! Avesh Khan comes from round the wicket but goes too full on off, sits perfectly for Conway to bring out the leaning cover drive. None of the fielders even moved... ",1680531334024
2.2," Mayers to Gaikwad, , touch of class!! Too full outside off, Ruturaj Gaikwad with a superb square drive. Between point and short third for a boundary ",1680531492305
3.5," Krunal Pandya to Gaikwad, , short but comes in with the arm onto leg, Gaikwad rocks back and guides his pull over mid-on. One bounce and four... ",1680531846585
4.2," Gowtham to Gaikwad, , short and straight, Gaikwad stays back and whacks it over the bowler's head. Back hand slap down the ground for six!! ",1680531977649
4.4," Gowtham to Gaikwad, , What a shot!! Gowtham tried shorter length, that disappeared. Now pitches it up on off, this time Gaikwad extends his arms on the drive down the ground. Over long-off for another six ",1680532052365
4.6," Gowtham to Gaikwad, , Ruturaj is off to a flier again!! This time dances down the track as soon as the bowler releases, takes it on the pitch and lifts his drive over wide long-off for six.  ",1680532176863
5.1," Mark Wood to Conway, , good length on off, an uppish push by Conway but there is no extra cover in place. Finds that gap and runs away for four... ",1680532274966
5.2," Mark Wood to Conway, byes, , banged in short on off, goes over Conway's pull and over Pooran's jump. Four byes... ",1680532318446
5.3," Mark Wood to Conway, , 140.7 clicks hard length ball on the body, pulled at double the pace through deep backward square leg. Played with disdain there by Devon Conway!! ",1680532353804
5.5,"Mark Wood to Gaikwad, , length ball on the pads at some serious pace, Ruturaj Gaikwad gives it just a gentle flick and the ball lands over the deep backward square leg ropes. ",1680532477939
7.1," Krunal Pandya to Gaikwad, 1 run, tossed up onto leg, driven towards long-on and that's  ",1680533142176
7.4," Krunal Pandya to Conway, , tossed up, Conway goes for it and gets it off the sweet spot of the bat on his slog. Over long-on, well over long-on despite that being the bigger boundary... ",1680533248255
7.6,"Krunal Pandya to Conway, , fired full outside off, Conway slams it at triple the pace over long-on for another six. He's reminding everyone he's out there too. ",1680533304965
