match_id,inning_id,team_name,team_shortname,bowl_id,bowl_name,overs,maidens,runs,dots,wickets,economy,no_balls,wides,isOverseas
66183,1,Sunrisers Hyderabad,SRH,1726,Bhuvneshwar,3.0,0,36,0,0,12.0,0,1,False
66183,1,Sunrisers Hyderabad,SRH,14282,Fazalhaq Farooqi,4.0,0,41,0,2,10.2,0,0,True
66183,1,Sunrisers Hyderabad,SRH,10945,Washington Sundar,3.0,0,32,0,0,10.7,0,0,False
66183,1,Sunrisers Hyderabad,SRH,10225,T Natarajan,3.0,0,23,0,2,7.7,0,0,False
66183,1,Sunrisers Hyderabad,SRH,1742,Adil Rashid,4.0,0,33,0,0,8.2,0,0,True
66183,1,Sunrisers Hyderabad,SRH,19027,Umran Malik,3.0,0,32,0,1,10.7,0,1,False
66183,2,Rajasthan Royals,RR,1726,Bhuvneshwar,3.0,0,36,0,0,12.0,0,1,False
66183,2,Rajasthan Royals,RR,14282,Fazalhaq Farooqi,4.0,0,41,0,2,10.2,0,0,True
66183,2,Rajasthan Royals,RR,10945,Washington Sundar,3.0,0,32,0,0,10.7,0,0,False
66183,2,Rajasthan Royals,RR,10225,T Natarajan,3.0,0,23,0,2,7.7,0,0,False
66183,2,Rajasthan Royals,RR,1742,Adil Rashid,4.0,0,33,0,0,8.2,0,0,True
66183,2,Rajasthan Royals,RR,19027,Umran Malik,3.0,0,32,0,1,10.7,0,1,False
